Scenario Number,h (m),H (m),Tw (s),Ramptime (s),? (m),Wave Initialization Length (m),Domain Length (m),Domain Height (m),Runtime (s),purgeWrite (samples),Sample Rate (s),hc (m),d (m),?S (m),Phi,a,n (m-1),Spacing
1,1,0.05,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,0.8,0.196,0.625,1.5,2
2,1,0.05,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,0.8,0.196,0.625,1.5,2
3,1,0.05,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,0.8,0.196,0.625,1.5,2
4,1,0.05,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,1.2,0.087,0.278,0.75,3
5,1,0.05,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,1.2,0.087,0.278,0.75,3
6,1,0.05,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,1.2,0.087,0.278,0.75,3
7,1,0.05,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,1.6,0.049,0.156,0.5,4
8,1,0.05,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,1.6,0.049,0.156,0.5,4
9,1,0.05,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,1.6,0.049,0.156,0.5,4
10,1,0.05,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,3.2,0.012,0.039,0,8
11,1,0.05,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,3.2,0.012,0.039,0,8
12,1,0.05,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,3.2,0.012,0.039,0,8
13,1,0.05,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,6.4,0.003,0.010,0,16
14,1,0.05,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,6.4,0.003,0.010,0,16
15,1,0.05,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,6.4,0.003,0.010,0,16
16,1,0.05,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,12.8,0.001,0.002,0,32
17,1,0.05,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,12.8,0.001,0.002,0,32
18,1,0.05,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,12.8,0.001,0.002,0,32
19,1,0.15,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,0.8,0.196,0.625,1.5,2
20,1,0.15,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,0.8,0.196,0.625,1.5,2
21,1,0.15,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,0.8,0.196,0.625,1.5,2
22,1,0.15,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,1.2,0.087,0.278,0.75,3
23,1,0.15,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,1.2,0.087,0.278,0.75,3
24,1,0.15,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,1.2,0.087,0.278,0.75,3
25,1,0.15,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,1.6,0.049,0.156,0.5,4
26,1,0.15,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,1.6,0.049,0.156,0.5,4
27,1,0.15,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,1.6,0.049,0.156,0.5,4
28,1,0.15,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,3.2,0.012,0.039,0,8
29,1,0.15,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,3.2,0.012,0.039,0,8
30,1,0.15,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,3.2,0.012,0.039,0,8
31,1,0.15,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,6.4,0.003,0.010,0,16
32,1,0.15,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,6.4,0.003,0.010,0,16
33,1,0.15,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,6.4,0.003,0.010,0,16
34,1,0.15,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,12.8,0.001,0.002,0,32
35,1,0.15,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,12.8,0.001,0.002,0,32
36,1,0.15,120,240,376,188,564,2.2,1080,2400,0.5,0.2,0.4,12.8,0.001,0.002,0,32
37,1,0.30,30,60,94,47,141,2.2,270,600,0.5,0.2,0.4,0.8,0.196,0.625,1.5,2
38,1,0.30,60,120,188,94,282,2.2,540,1200,0.5,0.2,0.4,0.8,0.196,0.625,1.5,2
