modelNumber,domain,scenarioNumber,waterDepth,waveHeight,wavePeriod,rampTime,runTime,purgeWrite,waveSteepness,Gamma,waveTheory
1,lowRelief,1,1,0.4,4,8,48,320,0.033,0.4,StokesV
2,lowRelief,2,1,0.4,8,16,96,640,0.016,0.4,StokesV
3,lowRelief,3,1,0.4,12,24,144,960,0.011,0.4,StokesV
4,lowRelief,4,1,0.4,16,32,192,1280,0.008,0.4,cnoidal
5,lowRelief,5,1,0.4,20,40,240,1600,0.006,0.4,cnoidal
6,lowRelief,6,2,0.4,4,8,48,320,0.025,0.2,StokesV
7,lowRelief,7,2,0.4,8,16,96,640,0.012,0.2,StokesV
8,lowRelief,8,2,0.4,12,24,144,960,0.008,0.2,StokesV
9,lowRelief,9,2,0.4,16,32,192,1280,0.006,0.2,StokesV
10,lowRelief,10,2,0.4,20,40,240,1600,0.005,0.2,cnoidal
11,lowRelief,11,2,0.8,4,8,48,320,0.049,0.4,StokesV
12,lowRelief,12,2,0.8,8,16,96,640,0.023,0.4,StokesV
13,lowRelief,13,2,0.8,12,24,144,960,0.015,0.4,StokesV
14,lowRelief,14,2,0.8,16,32,192,1280,0.011,0.4,StokesV
15,lowRelief,15,2,0.8,20,40,240,1600,0.009,0.4,cnoidal
16,lowRelief,16,2,1.2,4,8,48,320,0.074,0.6,StokesV
17,lowRelief,17,2,1.2,8,16,96,640,0.035,0.6,StokesV
18,lowRelief,18,2,1.2,12,24,144,960,0.023,0.6,cnoidal
19,lowRelief,19,2,1.2,16,32,192,1280,0.017,0.6,cnoidal
20,lowRelief,20,2,1.2,20,40,240,1600,0.014,0.6,cnoidal
21,lowRelief,21,3,0.4,4,8,48,320,0.021,0.13,StokesII
22,lowRelief,22,3,0.4,8,16,96,640,0.01,0.13,cnoidal
23,lowRelief,23,3,0.4,12,24,144,960,0.006,0.13,cnoidal
24,lowRelief,24,3,0.4,16,32,192,1280,0.005,0.13,cnoidal
25,lowRelief,25,3,0.4,20,40,240,1600,0.004,0.13,cnoidal
26,lowRelief,26,3,0.8,4,8,48,320,0.042,0.27,StokesV
27,lowRelief,27,3,0.8,8,16,96,640,0.019,0.27,StokesV
28,lowRelief,28,3,0.8,12,24,144,960,0.012,0.27,StokesV
29,lowRelief,29,3,0.8,16,32,192,1280,0.009,0.27,cnoidal
30,lowRelief,30,3,0.8,20,40,240,1600,0.007,0.27,cnoidal
31,lowRelief,31,3,1.2,4,8,48,320,0.063,0.4,StokesV
32,lowRelief,32,3,1.2,8,16,96,640,0.029,0.4,StokesV
33,lowRelief,33,3,1.2,12,24,144,960,0.019,0.4,StokesV
34,lowRelief,34,3,1.2,16,32,192,1280,0.014,0.4,StokesV
35,lowRelief,35,3,1.2,20,40,240,1600,0.011,0.4,cnoidal
36,lowRelief,36,3,1.6,4,8,48,320,0.084,0.53,StokesV
37,lowRelief,37,3,1.6,8,16,96,640,0.038,0.53,StokesV
38,lowRelief,38,3,1.6,12,24,144,960,0.025,0.53,cnoidal
39,lowRelief,39,3,1.6,16,32,192,1280,0.019,0.53,cnoidal
40,lowRelief,40,3,1.6,20,40,240,1600,0.015,0.53,cnoidal
41,lowRelief,41,3,2,4,8,48,320,0.105,0.67,StokesV
42,lowRelief,42,3,2,8,16,96,640,0.048,0.67,cnoidal
